idx,mod idx,op,name,target,args
271,,call_function,getitem_57,<built-in function getitem>,"(%size_22, -1"
272,,call_function,floordiv_11,<built-in function floordiv>,"(%getitem_57, 2"
273,,call_function,getitem_58,<built-in function getitem>,"(%transpose_10, (Ellipsis, slice(floordiv_11,"
274,,call_function,neg_5,<built-in function neg>,(%getitem_58
275,,call_function,cat_6,<built-in method cat of type object at 0x7f6ca205f240>,"((neg_5, getitem_56)"
276,,call_function,mul_29,<built-in function mul>,"(%cat_6, %unsqueeze_6"
277,,call_function,add_16,<built-in function add>,"(%mul_28, %mul_29"
278,,call_method,size_23,size,(%add_16
279,,call_function,getitem_59,<built-in function getitem>,"(%size_23, 0"
280,,call_function,getitem_60,<built-in function getitem>,"(%size_23, 1"
281,,call_function,getitem_61,<built-in function getitem>,"(%size_23, 2"
282,,call_function,getitem_62,<built-in function getitem>,"(%size_23, 3"
283,,call_function,getitem_63,<built-in function getitem>,"(%add_16, (slice(None, None, None), slic"
284,,call_method,expand_5,expand,"(%getitem_63, %getitem_59, %getitem_60, 4, %getitem_61, %getitem_62"
285,,call_function,mul_30,<built-in function mul>,"(%getitem_60, 4"
286,,call_method,reshape_4,reshape,"(%expand_5, %getitem_59, %mul_30, %getitem_61, %getitem_62"
287,,call_method,size_24,size,(%transpose_11
288,,call_function,getitem_64,<built-in function getitem>,"(%size_24, 0"
289,,call_function,getitem_65,<built-in function getitem>,"(%size_24, 1"
290,,call_function,getitem_66,<built-in function getitem>,"(%size_24, 2"
291,,call_function,getitem_67,<built-in function getitem>,"(%size_24, 3"
292,,call_function,getitem_68,<built-in function getitem>,"(%transpose_11, (slice(None, None, None), slic"
293,,call_method,expand_6,expand,"(%getitem_68, %getitem_64, %getitem_65, 4, %getitem_66, %getitem_67"
294,,call_function,mul_31,<built-in function mul>,"(%getitem_65, 4"
295,,call_method,reshape_5,reshape,"(%expand_6, %getitem_64, %mul_31, %getitem_66, %getitem_67"
296,,call_function,getattr_13,<built-in function getattr>,"(%add_15, device"
297,,call_function,getattr_14,<built-in function getattr>,"(%getattr_13, type"
298,,call_function,eq_5,<built-in function eq>,"(%getattr_14, cuda"
299,,call_function,gt_2,<built-in function gt>,"(%getitem_49, 1"
300,,call_function,scaled_dot_product_attention_2,<built-in function scaled_dot_product_attention>,"(%add_15, %reshape_4, %reshape_5"
301,,call_method,transpose_12,transpose,"(%scaled_dot_product_attention_2, 1, 2"
302,,call_method,contiguous_2,contiguous,(%transpose_12
303,,call_method,view_11,view,"(%contiguous_2, %getitem_48, %getitem_49, -1"
304,20,call_module,model_layers_2_self_attn_o_proj,model.layers.2.self_attn.o_proj,(%view_11
305,,call_function,add_17,<built-in function add>,"(%add_13, %model_layers_2_self_attn_o_proj"
306,,call_method,to_12,to,"(%add_17, torch.float32"
307,,call_method,pow_6,pow,"(%to_12, 2"
308,,call_method,mean_5,mean,"(%pow_6, -1"
309,,call_function,add_18,<built-in function add>,"(%mean_5, 1e-05"
310,,call_function,rsqrt_5,<built-in method rsqrt of type object at 0x7f6ca205f240>,(%add_18
311,,call_function,mul_32,<built-in function mul>,"(%to_12, %rsqrt_5"
312,,get_attr,model_layers_2_post_attention_layernorm_weight,model.layers.2.post_attention_layernorm.weight,(
313,,call_function,getattr_15,<built-in function getattr>,"(%add_17, dtype"
314,,call_method,to_13,to,"(%mul_32, %getattr_15"
315,,call_function,mul_33,<built-in function mul>,"(%model_layers_2_post_attention_layernorm_weight, %to_13"
316,21,call_module,model_layers_2_mlp_gate_proj,model.layers.2.mlp.gate_proj,(%mul_33
317,22,call_module,model_layers_2_mlp_act_fn,model.layers.2.mlp.act_fn,(%model_layers_2_mlp_gate_proj
318,23,call_module,model_layers_2_mlp_up_proj,model.layers.2.mlp.up_proj,(%mul_33
319,,call_function,mul_34,<built-in function mul>,"(%model_layers_2_mlp_act_fn, %model_layers_2_mlp_up_proj"
320,24,call_module,model_layers_2_mlp_down_proj,model.layers.2.mlp.down_proj,(%mul_34
321,,call_function,add_19,<built-in function add>,"(%add_17, %model_layers_2_mlp_down_proj"
322,,call_method,to_14,to,"(%add_19, torch.float32"
323,,call_method,pow_7,pow,"(%to_14, 2"
324,,call_method,mean_6,mean,"(%pow_7, -1"
325,,call_function,add_20,<built-in function add>,"(%mean_6, 1e-05"
326,,call_function,rsqrt_6,<built-in method rsqrt of type object at 0x7f6ca205f240>,(%add_20
327,,call_function,mul_35,<built-in function mul>,"(%to_14, %rsqrt_6"
328,,get_attr,model_layers_3_input_layernorm_weight,model.layers.3.input_layernorm.weight,(
329,,call_function,getattr_16,<built-in function getattr>,"(%add_19, dtype"
330,,call_method,to_15,to,"(%mul_35, %getattr_16"
331,,call_function,mul_36,<built-in function mul>,"(%model_layers_3_input_layernorm_weight, %to_15"
332,,call_method,size_25,size,(%mul_36
333,,call_function,getitem_69,<built-in function getitem>,"(%size_25, 0"
334,,call_function,getitem_70,<built-in function getitem>,"(%size_25, 1"
335,,call_function,getitem_71,<built-in function getitem>,"(%size_25, 2"
336,25,call_module,model_layers_3_self_attn_q_proj,model.layers.3.self_attn.q_proj,(%mul_36
337,26,call_module,model_layers_3_self_attn_k_proj,model.layers.3.self_attn.k_proj,(%mul_36
338,27,call_module,model_layers_3_self_attn_v_proj,model.layers.3.self_attn.v_proj,(%mul_36
339,,call_method,view_12,view,"(%model_layers_3_self_attn_q_proj, %getitem_69, %getitem_70, 32, 64"
340,,call_method,transpose_13,transpose,"(%view_12, 1, 2"
341,,call_method,view_13,view,"(%model_layers_3_self_attn_k_proj, %getitem_69, %getitem_70, 8, 64"
342,,call_method,transpose_14,transpose,"(%view_13, 1, 2"
343,,call_method,view_14,view,"(%model_layers_3_self_attn_v_proj, %getitem_69, %getitem_70, 8, 64"
344,,call_method,transpose_15,transpose,"(%view_14, 1, 2"
345,,call_method,unsqueeze_7,unsqueeze,"(%to, 1"
346,,call_method,unsqueeze_8,unsqueeze,"(%to_1, 1"
347,,call_function,mul_37,<built-in function mul>,"(%transpose_13, %unsqueeze_7"
348,,call_method,size_26,size,(%transpose_13
349,,call_function,getitem_72,<built-in function getitem>,"(%size_26, -1"
350,,call_function,floordiv_12,<built-in function floordiv>,"(%getitem_72, 2"
351,,call_function,getitem_73,<built-in function getitem>,"(%transpose_13, (Ellipsis, slice(None, floordi"
352,,call_method,size_27,size,(%transpose_13
353,,call_function,getitem_74,<built-in function getitem>,"(%size_27, -1"
354,,call_function,floordiv_13,<built-in function floordiv>,"(%getitem_74, 2"
355,,call_function,getitem_75,<built-in function getitem>,"(%transpose_13, (Ellipsis, slice(floordiv_13,"
356,,call_function,neg_6,<built-in function neg>,(%getitem_75
357,,call_function,cat_7,<built-in method cat of type object at 0x7f6ca205f240>,"((neg_6, getitem_73)"
358,,call_function,mul_38,<built-in function mul>,"(%cat_7, %unsqueeze_8"
359,,call_function,add_21,<built-in function add>,"(%mul_37, %mul_38"
360,,call_function,mul_39,<built-in function mul>,"(%transpose_14, %unsqueeze_7"
361,,call_method,size_28,size,(%transpose_14
362,,call_function,getitem_76,<built-in function getitem>,"(%size_28, -1"
363,,call_function,floordiv_14,<built-in function floordiv>,"(%getitem_76, 2"
364,,call_function,getitem_77,<built-in function getitem>,"(%transpose_14, (Ellipsis, slice(None, floordi"
365,,call_method,size_29,size,(%transpose_14
366,,call_function,getitem_78,<built-in function getitem>,"(%size_29, -1"
367,,call_function,floordiv_15,<built-in function floordiv>,"(%getitem_78, 2"
368,,call_function,getitem_79,<built-in function getitem>,"(%transpose_14, (Ellipsis, slice(floordiv_15,"
369,,call_function,neg_7,<built-in function neg>,(%getitem_79
370,,call_function,cat_8,<built-in method cat of type object at 0x7f6ca205f240>,"((neg_7, getitem_77)"
371,,call_function,mul_40,<built-in function mul>,"(%cat_8, %unsqueeze_8"
